iso3,year,acaps_pin
AFG,2021,18.4
AGO,2021,1.35
ARM,2021,0.09
AZE,2021,0
BDI,2021,2.4
BFA,2021,2.17
BGD,2021,1.36
BRA,2021,0.49
CAF,2021,2.8
CHN,2021,0.2
CMR,2021,4
COD,2021,19.59
COG,2021,1.2
COL,2021,8.5
CRI,2021,0.04
DJI,2021,0.31
DZA,2021,0
ECU,2021,0.42
EGY,2021,1.44
ERI,2021,2.58
ESP,2021,0.12
ETH,2021,23.51
FJI,2021,0.01
GRC,2021,0.02
GTM,2021,3.8
HND,2021,3.3
HTI,2021,5.05
IDN,2021,0.06
IND,2021,0
IRN,2021,3.4
IRQ,2021,4.39
ITA,2021,0.21
JOR,2021,1.46
KEN,2021,3.44
LBN,2021,3.21
LBY,2021,1.3
LSO,2021,0.58
MAR,2021,0
MDG,2021,1.35
MEX,2021,0
MLI,2021,5.9
MMR,2021,3.7
MOZ,2021,4.11
MRT,2021,0.09
MWI,2021,2.64
MYS,2021,0.18
NAM,2021,0.75
NER,2021,3.82
NGA,2021,16.37
NIC,2021,0
PAK,2021,11
PER,2021,1.31
PHL,2021,2.52
PRK,2021,10.43
PSE,2021,3.81
NGA; NER; TCD; CMR,2021,8.96
VEN; BRA; COL; ECU; PER; TTO; CHL; DOM; PAN,2021,20.55
IND; PAK,2021,0
SYR; TUR; IRQ; EGY; JOR; LBN,2021,25.61
TUR; GRC,2021,2.44
DZA; TUN; LBY; ITA,2021,0
DZA; MAR; ESP,2021,0
BGD; MMR,2021,2.19
LSO; MDG; MWI; NAM; SWZ; ZMB; ZWE; TZA,2021,13.63
ARM; AZE,2021,0
RWA,2021,0.14
SDN,2021,14.3
SEN,2021,0.51
SLV,2021,1.7
SOM,2021,7.74
SSD,2021,8.3
SWZ,2021,0.37
SYR,2021,13.4
TCD,2021,6.4
THA,2021,0.09
TLS,2021,0.01
TTO,2021,0.06
TUN,2021,0
TUR,2021,2.42
TZA,2021,0.29
UGA,2021,1.53
UKR,2021,3.4
VCT,2021,0.01
VEN,2021,14.8
VNM,2021,1
VUT,2021,0.12
YEM,2021,24.16
ZMB,2021,1.68
ZWE,2021,7
AFG,2022,24.42
AGO,2022,1.59
ARM,2022,0.07
AZE,2022,0
BDI,2022,2.4
BFA,2022,3.52
BGD,2022,4.89
BRA,2022,0.48
CAF,2022,3.1
CHL,2022,0.48
CMR,2022,11.69
COD,2022,16
COG,2022,1.2
COL,2022,7.7
CRI,2022,0.18
DJI,2022,0.23
DOM,2022,0.1
DZA,2022,0.26
ECU,2022,0.87
EGY,2022,2.67
ERI,2022,2.58
ESP,2022,0.16
ETH,2022,28.51
GMB,2022,0.05
GRC,2022,0.02
GTM,2022,3.8
HND,2022,3.3
HTI,2022,5.05
HUN,2022,1.59
IDN,2022,0.1
IND,2022,0
IRN,2022,3.4
IRQ,2022,2.77
ITA,2022,0.24
JOR,2022,0.78
KEN,2022,4.92
LBN,2022,1.54
LBY,2022,1.3
LKA,2022,7
LSO,2022,0.34
MAR,2022,0.02
MDA,2022,0.7
MDG,2022,2.26
MEX,2022,0.1
MLI,2022,6.3
MMR,2022,14.41
MOZ,2022,2.49
MRT,2022,0.1
MWI,2022,4.5
MYS,2022,0.19
NAM,2022,0.75
NER,2022,3.82
NGA,2022,19.16
NIC,2022,0
PAK,2022,52.2
PAN,2022,0.09
PER,2022,1.7
PHL,2022,2.7
PNG,2022,0.27
POL,2022,7.58
PRK,2022,10.43
PSE,2022,2.36
NGA; NER; TCD; CMR,2022,10.77
VEN; BRA; COL; ECU; PER; TTO; CHL; DOM; PAN,2022,26.94
IND; PAK,2022,0
SYR; TUR; IRQ; EGY; JOR; LBN,2022,22.41
TUR; GRC,2022,2.45
DZA; TUN; LBY; ITA,2022,1.23
DZA; MAR; ESP,2022,0.45
BGD; MMR,2022,3.04
LSO; MDG; MWI; NAM; SWZ; ZMB; ZWE; TZA,2022,17.44
ARM; AZE,2022,0.03
ETH; SOM; KEN,2022,23.95
ROU,2022,1.56
RWA,2022,0.14
SDN,2022,15.8
SEN,2022,0.88
SLV,2022,1.7
SOM,2022,7.8
SSD,2022,12.52
SVK,2022,0.95
SWZ,2022,0.34
SYR,2022,14.56
TCD,2022,6.4
THA,2022,0.09
TON,2022,0
TTO,2022,0.06
TUN,2022,0.01
TUR,2022,2.43
TZA,2022,0.85
UGA,2022,2.26
UKR,2022,17.7
VEN,2022,18.52
YEM,2022,23.4
ZMB,2022,1.95
ZWE,2022,7
